time,total_free_energy,total_solute
0.0100000000,5815.7572440704,20504.4690550850
0.0300000000,5150.9957874028,20504.4690550850
0.0700000000,4568.7007152985,20504.4690550859
0.1500000000,4093.9508924688,20504.4690550983
0.2300000000,3870.8318868727,20504.4690550974
0.3900000000,3705.2027522326,20504.4690550974
0.4700000000,3665.1924947038,20504.4690550974
0.6300000000,3621.6143739670,20504.4690550974
0.7100000000,3605.1918494311,20504.4690551223
0.8700000000,3578.0208992007,20504.4690551223
1.0300000000,3553.5386181870,20504.4690551223
1.1900000000,3530.3252805253,20504.4690551217
1.5100000000,3486.3242207274,20504.4690551516
2.1500000000,3398.5850248419,20504.4690551516
2.4700000000,3355.0224388945,20504.4690551515
2.6300000000,3333.0711679517,20504.4690551571
2.9500000000,3289.1243019328,20504.4690551651
3.5900000000,3200.9287385247,20504.4690551649
3.9100000000,3157.1816511058,20504.4690551663
4.2300000000,3113.8470011415,20504.4690551632
4.5500000000,3070.8624207568,20504.4690551630
4.7100000000,3049.3060351908,20504.4690551633
4.8700000000,3026.9180306270,20504.4690551665
5.0300000000,3004.8021934448,20504.4690551864
5.3500000000,2962.5095924989,20504.4690551848
5.9900000000,2879.6602144171,20504.4690551483
6.3100000000,2839.2285744004,20504.4690551474
6.6300000000,2799.3703645818,20504.4690551460
6.9500000000,2759.9599268603,20504.4690551447
7.2700000000,2719.7965456305,20504.4690551447
7.4300000000,2698.9793950896,20504.4690551480
7.7500000000,2658.6600982333,20504.4690551719
8.3900000000,2581.7099637980,20504.4690551561
8.7100000000,2544.5829299633,20504.4690551555
9.3500000000,2473.9892030856,20504.4690551537
9.6700000000,2440.0116689170,20504.4690551536
10.3100000000,2374.6431531974,20504.4690551535
10.6300000000,2343.1066463181,20504.4690551535
11.2700000000,2283.1135938329,20504.4690551533
11.5900000000,2254.2885594012,20504.4690551533
12.2300000000,2199.1440667063,20504.4690551533
12.5500000000,2172.6096422413,20504.4690551532
13.1900000000,2122.4380634867,20504.4690551532
13.5100000000,2098.3014930773,20504.4690551532
14.1500000000,2051.9508313631,20504.4690553128
15.4300000000,1968.0378636935,20504.4690552400
16.0700000000,1929.2603407490,20504.4690553131
17.3500000000,1857.9086006181,20504.4690553785
17.9900000000,1824.8886420704,20504.4690554148
19.2700000000,1763.3697533964,20504.4690551889
19.9100000000,1734.5839373538,20504.4690552366
21.1900000000,1680.6868876386,20504.4690552120
21.8300000000,1655.3680958661,20504.4690552244
23.1100000000,1607.1931814893,20504.4690552199
23.7500000000,1584.2022302229,20504.4690552260
25.0300000000,1541.5287817244,20504.4690552260
25.6700000000,1520.9072438012,20504.4690552325
26.9500000000,1481.7262857866,20504.4690552314
27.5900000000,1463.0615332389,20504.4690552263
28.2300000000,1444.8816247304,20504.4690552215
28.8700000000,1427.1131430090,20504.4690552178
29.1900000000,1418.4098346125,20504.4690551938
29.5100000000,1409.8385239832,20504.4690551939
29.8300000000,1401.1159727040,20504.4690551938
29.9900000000,1396.1203453021,20504.4690551939
30.1500000000,1390.1162643423,20504.4690551892
30.4700000000,1378.4426790121,20504.4690551904
30.6300000000,1372.9896039236,20504.4690551809
30.9500000000,1362.6390825047,20504.4690551923
31.5900000000,1343.3264883522,20504.4690552240
31.9100000000,1334.0508393460,20504.4690552242
32.5500000000,1316.4301247744,20504.4690552237
32.8700000000,1307.9250659286,20504.4690552237
33.5100000000,1291.6237956572,20504.4690552863
34.7900000000,1260.9290110287,20504.4690552857
35.4300000000,1246.1913161396,20504.4690552777
36.7100000000,1218.7884599036,20504.4690554356
37.3500000000,1205.7518226442,20504.4690554296
38.6300000000,1181.2179803368,20504.4690553893
39.2700000000,1169.4752630435,20504.4690553881
40.5500000000,1147.0810788216,20504.4690553814
41.1900000000,1136.3920008684,20504.4690553812
42.4700000000,1116.4476210096,20504.4690553824
43.1100000000,1106.9049057655,20504.4690553824
44.3900000000,1088.7804839763,20504.4690553755
45.0300000000,1080.0652501771,20504.4690553754
46.3100000000,1063.6610387470,20504.4690553750
46.9500000000,1055.8323222576,20504.4690553747
48.2300000000,1040.8519572809,20504.4690553745
48.8700000000,1033.6278598196,20504.4690553744
50.1500000000,1020.1869648082,20504.4690556731
52.7100000000,996.3222626229,20504.4690556734
53.9900000000,985.3455904982,20504.4690560462
56.5500000000,965.8195735143,20504.4690560591
57.8300000000,956.8972055943,20504.4690560950
60.3900000000,940.9554992550,20504.4690555520
61.6700000000,933.6353865925,20504.4690555841
64.2300000000,920.7145881733,20504.4690555831
65.5100000000,914.7919368102,20504.4690556256
68.0700000000,904.3314842795,20504.4690555330
69.3500000000,899.5872763721,20504.4690555309
71.9100000000,891.1658375548,20504.4690555433
73.1900000000,887.2528644245,20504.4690555485
75.7500000000,880.2511281739,20504.4690555433
77.0300000000,877.0648230040,20504.4690555430
78.3100000000,874.1102748293,20504.4690555428
79.5900000000,871.3572797243,20504.4690555444
80.2300000000,870.0357622689,20504.4690555451
80.8700000000,868.7416247812,20504.4690555431
81.5100000000,869.1055542188,20504.4690555438
81.8300000000,868.4065144840,20504.4690555441
82.4700000000,867.1719102380,20504.4690555474
83.7500000000,864.9218503678,20504.4690555472
86.3100000000,860.9404379145,20504.4690559154
91.4300000000,854.5554462481,20504.4690559161
93.9900000000,851.7510155283,20504.4690559163
95.2700000000,850.4214497640,20504.4690559163
97.8300000000,847.8823108329,20504.4690559159
99.1100000000,846.6304646809,20504.4690559149
101.6700000000,844.2278505864,20504.4690559328
